Partner Name	Client Name	Emails Sent	Prints Sent
Direct	StoriesApart	0	0
Direct	T-soft.com.tr	0	0
Direct	T-Sport	8694	0
Direct	Teknik Destek Grubu	RCP Error	--
Direct	Tetas	0	0
Direct	Toptangrup	0	0
Direct	Transitions Türkiye	RCP Error	--
Direct	Travel Talk	59510	0
Direct	TSUAB	7176	0
Moda Elinizde	Twn Campus	0	0
Direct	Ufuktanitim	19	0
Direct	Ustun Zekalilar Enstitusu	RCP Error	--
Bilginet	Valizci.com	RCP Error	--
Direct	Vamelya	RCP Error	--
Direct	Volkan I�?ık Akademi	87403	0
Direct	Wall Street İnstitute	60247	0
Direct	www.bisikletcim.com	332086	0
Direct	www.lushturkey.com	16780	0
Direct	Yedek Parca Ford	0	0
Bilginet	Yenen Danismanlik	RCP Error	--
Direct	Yuke Lastik - Lastik24	0	0
